"","Player","Span","Mat","Start","Sub","Pts","Tries","Conv","Pens","Drop","GfM","Won","Lost","Draw","%"
"736","RS Crotty (NZ)","2013-2019",48,35,13,"60",12,0,0,0,0,42,5,1,88.54
"737","ACG Cuthbert (Lions/Wales)","2011-2017",48,46,2,"85",17,0,0,0,0,25,23,0,52.08
"738","W Fofana (Fra)","2012-2019",48,47,1,"75",15,0,0,0,0,20,26,2,43.75
"739","TW Francis (Wales)","2015-2019",48,31,17,"5",1,0,0,0,0,30,17,1,63.54
"740","EC Fry (USA)","2011-2019",48,38,10,"15",3,0,0,0,0,17,30,1,36.45
"741","SM Fuchsel (Germ)","2012-2020",48,36,12,"20",4,0,0,0,0,22,25,1,46.87
"742","MRG Giacheri (Italy)","1992-2003",48,44,4,"0",0,0,0,0,0,15,33,0,31.25
"743","MMM Hercus (USA)","2002-2009",48,45,3,"465",9,90,76,4,0,19,29,0,39.58
"744","AA Hogg (Scot)","2004-2009",48,40,8,"50",10,0,0,0,0,15,33,0,31.25
"745","ES Katalau (Fiji)","1995-2003",48,39,9,"25",5,0,0,0,0,25,23,0,52.08
"746","N Klappenbach (Urug)","2005-2015",48,23,25,"10",2,0,0,0,0,18,29,1,38.54
"747","M Kunda (JPN)","1990-1999",48,45,3,"5",1,0,0,0,0,20,28,0,41.66
"748","PA Lemoine (Urug)","1995-2010",48,41,7,"20",4,0,0,0,0,19,28,1,40.62
"749","SD Maitland (Scot)","2013-2020",48,45,3,"75",15,0,0,0,0,26,21,1,55.2
"750","T Miuchi (JPN)","2002-2008",48,47,1,"35",7,0,0,0,0,20,27,1,42.7
"751","KA Morgan (Wales)","1997-2007",48,44,4,"60",12,0,0,0,0,27,20,1,57.29
"752","L Orquera (Italy)","2004-2015",48,27,21,"154",3,20,31,2,0,10,38,0,20.83
"753","H Pollard (SA)","2014-2019",48,38,10,"457",6,74,89,4,0,28,19,1,59.37
"754","J Queimado (Port)","1984-1994",48,48,0,"100",1,10,21,4,0,17,29,2,37.5
"755","A Shcherban (Russ)","2010-2020",48,26,22,"10",2,0,0,0,0,17,31,0,35.41
"756","SW Sivivatu (NZ/PI)","2004-2011",48,46,2,"165",33,0,0,0,0,37,11,0,77.08
"757","G Storace (Urug)","1996-2007",48,23,25,"15",3,0,0,0,0,21,27,0,43.75
"758","AJ Tomes (Scot)","1976-1987",48,47,1,"12",3,0,0,0,0,17,27,4,39.58
"759","PS Wallace (Ire/Lions)","1995-2002",48,38,10,"25",5,0,0,0,0,21,26,1,44.79
"760","PJ Wheeler (Eng/Lions)","1975-1984",48,48,0,"0",0,0,0,0,0,19,27,2,41.66
"761","VN Anitoni (Tonga/USA)","1990-2000",47,45,2,"130",26,0,0,0,0,14,33,0,29.78
"762","L Armary (Fra)","1987-1995",47,45,2,"4",1,0,0,0,0,32,14,1,69.14
"763","M Bollesan (Italy)","1963-1975",47,47,0,"24",7,0,0,0,0,19,25,3,43.61
"764","N Brignoni (Urug)","1998-2010",47,38,9,"45",9,0,0,0,0,17,29,1,37.23
"765","LM Byrne (Lions/Wales)","2005-2011",47,43,4,"50",10,0,0,0,0,20,25,2,44.68
"766","GJ Cooper (Lions/Wales)","2001-2010",47,34,13,"45",9,0,0,0,0,22,24,1,47.87
"767","R Corrigan (Ire)","1997-2006",47,40,7,"0",0,0,0,0,0,27,20,0,57.44
"768","D de Allende (SA)","2014-2019",47,39,8,"30",6,0,0,0,0,26,19,2,57.44
"769","H Dumitras (Rom)","1984-1993",47,44,3,"30",7,0,0,0,0,24,23,0,51.06
"770","BJ Franks (NZ)","2010-2015",47,7,40,"10",2,0,0,0,0,43,3,1,92.55
"771","TV Furlong (Ire/Lions)","2015-2020",47,36,11,"25",5,0,0,0,0,29,16,2,63.82
"772","BT Gavin (Aust)","1988-1996",47,44,3,"40",9,0,0,0,0,31,15,1,67.02
"773","RD Grau (Arg)","1993-2003",47,39,8,"10",2,0,0,0,0,19,28,0,40.42
"774","SD Gray (Can)","1984-1997",47,45,2,"26",6,0,0,0,0,25,22,0,53.19
"775","ER Januarie (SA)","2005-2010",47,30,17,"25",5,0,0,0,0,34,13,0,72.34
"776","KJ Jones (Lions/Wales)","1947-1957",47,47,0,"57",19,0,0,0,0,28,16,3,62.76
"777","MA Jones (Wales)","2001-2009",47,46,1,"65",13,0,0,0,0,22,23,2,48.93
"778","S Kitshoff (SA)","2016-2019",47,12,35,"5",1,0,0,0,0,25,19,3,56.38
"779","D Kubriashvili (Georg)","2008-2018",47,29,18,"5",1,0,0,0,0,32,13,2,70.21
"780","S Lawson (Scot)","2005-2018",47,17,30,"10",2,0,0,0,0,20,26,1,43.61
"781","L Lomidze (Georg)","2013-2019",47,28,19,"20",4,0,0,0,0,33,13,1,71.27
"782","JP Lux (Fra)","1967-1975",47,47,0,"42",12,0,0,0,0,22,19,6,53.19
"783","T Masuho (JPN)","1991-2001",47,46,1,"147",29,1,1,0,0,20,27,0,42.55
"784","M Mendaro (Urug)","1992-2003",47,44,3,"20",4,0,0,0,0,20,27,0,42.55
"785","M Moroni (Arg)","2014-2019",47,38,9,"45",9,0,0,0,0,13,34,0,27.65
"786","C Poitrenaud (Fra)","2001-2012",47,42,5,"35",7,0,0,0,0,29,17,1,62.76
"787","MP Regan (Eng/Lions)","1995-2008",47,34,13,"15",3,0,0,0,0,28,18,1,60.63
"788","KP Robertson (Italy)","2004-2010",47,40,7,"70",14,0,0,0,0,15,32,0,31.91
"789","DC Ryan (Ire)","2008-2017",47,26,21,"0",0,0,0,0,0,21,23,3,47.87
"790","RM Saulo Romumu (Fiji)","2012-2019",47,34,13,"0",0,0,0,0,0,26,20,1,56.38
"791","JT Small (SA)","1992-1997",47,43,4,"100",20,0,0,0,0,28,17,2,61.7
"792","DMB Sole (Lions/Scot)","1986-1992",47,47,0,"12",3,0,0,0,0,24,21,2,53.19
"793","JW Sole (Italy)","2005-2011",47,37,10,"15",3,0,0,0,0,11,35,1,24.46
"794","FAA Sousa (Port)","2000-2007",47,46,1,"20",4,0,0,0,0,22,23,2,48.93
"795","RC Spachuk (Port)","2005-2014",47,38,9,"10",2,0,0,0,0,14,28,5,35.1
"796","AK Strokosch (Scot)","2006-2015",47,35,12,"10",2,0,0,0,0,22,25,0,46.8
"797","L Troiani (Italy)","1985-1995",47,47,0,"294",2,57,57,0,0,23,24,0,48.93
"798","HF Tui (JPN)","2012-2019",47,31,16,"90",18,0,0,0,0,31,16,0,65.95
"799","BN Tune (Aust)","1996-2006",47,42,5,"120",24,0,0,0,0,30,16,1,64.89
"800","I Zykov (Russ)","2012-2019",47,28,19,"10",2,0,0,0,0,21,26,0,44.68
"801","JI Alzueta (Urug)","1999-2009",46,36,10,"0",0,0,0,0,0,16,30,0,34.78
"802","JD Ball (Wales)","2014-2020",46,31,15,"0",0,0,0,0,0,23,23,0,50
"803","K Brenner (Germ)","2006-2017",46,33,13,"35",7,0,0,0,0,19,26,1,42.39
"804","I Bucan (Rom)","1976-1987",46,45,1,"0",0,0,0,0,0,30,15,1,66.3
"805","M Campagnaro (Italy)","2013-2019",46,42,4,"45",9,0,0,0,0,10,36,0,21.73
"806","MN Carizza (Arg)","2004-2015",46,36,10,"5",1,0,0,0,0,15,30,1,33.69
"807","M Cecillon (Fra)","1988-1995",46,43,3,"38",9,0,0,0,0,31,14,1,68.47
"808","D Chouly (Fra)","2007-2017",46,27,19,"15",3,0,0,0,0,20,26,0,43.47
"809","R Cordeiro (Port)","2002-2007",46,35,11,"10",2,0,0,0,0,21,22,3,48.91
"810","EF Daly (Eng/Lions)","2016-2020",46,41,5,"99",15,0,7,1,0,33,11,2,73.91
"811","PT Davies (Wales)","1985-1995",46,45,1,"21",5,0,0,0,0,22,23,1,48.91
"812","TM Davies (Lions/Wales)","1969-1976",46,46,0,"7",2,0,0,0,0,31,9,6,73.91
"813","D Erbani (Fra)","1981-1990",46,42,4,"12",3,0,0,0,0,30,13,3,68.47
"814","N Fernandez Miranda (Arg)","1994-2007",46,34,12,"30",6,0,0,0,0,33,13,0,71.73
"815","GJ Fox (NZ)","1985-1993",46,45,1,"645",1,118,128,7,0,38,7,1,83.69
"816","F Hougaard (SA)","2009-2017",46,27,19,"25",5,0,0,0,0,27,16,3,61.95
"817","MJ Kiernan (Ire/Lions)","1982-1991",46,45,1,"308",6,40,62,6,0,18,27,1,40.21
"818","JA Kriel (SA)","2015-2019",46,37,9,"60",12,0,0,0,0,23,20,3,53.26
"819","GEJ Kruis (Eng/Lions)","2014-2020",46,30,16,"15",3,0,0,0,0,33,12,1,72.82
"820","P Lagisquet (Fra)","1983-1991",46,45,1,"80",20,0,0,0,0,27,17,2,60.86
"821","F Lamanna Miranda (Urug)","2012-2019",46,31,15,"40",8,0,0,0,0,23,22,1,51.08
"822","FM Lopez Perez (Spain)","2015-2020",46,31,15,"20",4,0,0,0,0,24,22,0,52.17
"823","SC McDowall (NZ)","1985-1992",46,46,0,"12",3,0,0,0,0,38,6,2,84.78
"824","HF McLeod (Lions/Scot)","1954-1962",46,46,0,"0",0,0,0,0,0,16,27,3,38.04
"825","JS Millar (Ire/Lions)","1958-1970",46,46,0,"0",0,0,0,0,0,14,27,5,35.86
"826","JPT Moody (NZ)","2014-2019",46,39,7,"25",5,0,0,0,0,38,5,3,85.86
"827","E Ntamack (Fra)","1994-2000",46,43,3,"135",26,1,1,0,0,32,14,0,69.56
"828","Y Nyanga Kabasele (Fra)","2004-2015",46,30,16,"30",6,0,0,0,0,30,14,2,67.39
"829","SV Raiwalui (Fiji/PI)","1997-2006",46,44,2,"15",3,0,0,0,0,26,20,0,56.52
"830","TAK Rodber (Eng/Lions)","1992-1999",46,38,8,"25",5,0,0,0,0,35,11,0,76.08
"831","JC Skrela (Fra)","1971-1978",46,44,2,"24",6,0,0,0,0,27,14,5,64.13
"832","I Tawake (Fiji)","1986-1999",46,38,8,"25",4,0,2,0,0,16,29,1,35.86
"833","JS Uva (Port)","2000-2009",46,32,14,"15",3,0,0,0,0,24,21,1,53.26
"834","S Vahaamahina (Fra)","2012-2019",46,32,14,"5",1,0,0,0,0,17,27,2,39.13
"835","A Volkov (Russ)","2008-2016",46,21,25,"15",3,0,0,0,0,20,26,0,43.47
"836","AKC Watson (Eng/Lions)","2014-2020",46,43,3,"90",18,0,0,0,0,33,12,1,72.82
"837","WK Young (Aust)","2000-2005",46,46,0,"0",0,0,0,0,0,29,17,0,63.04
"838","D Zarzosa Pena (Spain)","1998-2009",46,22,24,"15",3,0,0,0,0,16,28,2,36.95
"839","JS Byrne (Ire/Lions)","2001-2005",45,34,11,"15",3,0,0,0,0,30,14,1,67.77
"840","TR Croft (Eng/Lions)","2008-2015",45,28,17,"30",6,0,0,0,0,25,20,0,55.55
"841","DF Cronin (Scot)","1988-1998",45,44,1,"23",5,0,0,0,0,20,23,2,46.66
"842","L de Jager (SA)","2014-2019",45,29,16,"25",5,0,0,0,0,24,20,1,54.44
"843","V Didebulidze (Georg)","1991-2007",45,31,14,"25",5,0,0,0,0,27,17,1,61.11
"844","WP Duggan (Ire/Lions)","1975-1984",45,45,0,"8",2,0,0,0,0,13,31,1,30
"845","I Dumitras (Rom)","2002-2012",45,38,7,"69",11,4,2,0,0,23,20,2,53.33
"846","MJ Dunning (Aust)","2003-2009",45,20,25,"0",0,0,0,0,0,28,17,0,62.22
"847","JJ Etcheverry Cavanna (Urug)","2008-2016",45,41,4,"213",8,37,30,3,0,14,30,1,32.22
"848","CJ Hayman (NZ)","2001-2007",45,37,8,"10",2,0,0,0,0,36,8,1,81.11
"849","R Holani (JPN)","2008-2016",45,39,6,"110",22,0,0,0,0,31,14,0,68.88
"850","P Horne (Scot)","2013-2019",45,22,23,"53",6,7,3,0,0,24,21,0,53.33
"851","TN Hotson (Can)","2008-2015",45,33,12,"0",0,0,0,0,0,22,22,1,50
"852","R Kitshoff (Namib)","2010-2019",45,31,14,"110",22,0,0,0,0,24,21,0,53.33
"853","AA Lutui (PI/Tonga)","1999-2015",45,35,10,"25",5,0,0,0,0,12,32,1,27.77
"854","DJ Lyle (USA)","1994-2003",45,45,0,"30",6,0,0,0,0,17,28,0,37.77
"855","GA McRorie (Can)","2014-2019",45,33,12,"283",6,44,54,1,0,11,33,1,25.55
"856","A Makovetskiy (Russ)","2010-2015",45,40,5,"25",5,0,0,0,0,20,25,0,44.44
"857","FPD Malgahaes (Port)","2008-2017",45,33,12,"20",4,0,0,0,0,14,30,1,32.22
"858","AJD Mauger (NZ)","2001-2007",45,40,5,"90",13,8,1,2,0,39,6,0,86.66
"859","O Merle (Fra)","1993-1997",45,44,1,"30",6,0,0,0,0,31,13,1,70
"860","CR Moriarty (Wales)","2015-2020",45,34,11,"15",3,0,0,0,0,26,19,0,57.77
"861","Z Mtchedlishvili (Georg)","1995-2007",45,33,12,"20",4,0,0,0,0,25,19,1,56.66
"862","JM Petrie (Scot)","2000-2006",45,22,23,"15",3,0,0,0,0,17,27,1,38.88
"863","S Phelan (Arg)","1997-2003",45,38,7,"5",1,0,0,0,0,26,18,1,58.88
"864","TM Pisi (PI/Samoa)","2006-2019",45,41,4,"259",3,32,58,2,0,15,29,1,34.44
"865","MS Rogers (Aust)","2002-2006",45,26,19,"163",14,27,13,0,0,27,17,1,61.11
"866","G Rossi (Italy)","1981-1991",45,43,2,"0",0,0,0,0,0,17,25,3,41.11
"867","G Zanon (Italy)","1981-1991",45,43,2,"36",9,0,0,0,0,22,21,2,51.11
"868","RE Alvarez Kairelis (Arg)","1998-2009",44,34,10,"15",3,0,0,0,0,30,14,0,68.18
"869","JJ Alvarez Ruiz de Temino (Spain)","1983-1995",44,42,2,"5",1,0,0,0,0,12,31,1,28.4
"870","CJ Ashton (Eng)","2010-2019",44,41,3,"100",20,0,0,0,0,27,16,1,62.5
"871","TW Billups (USA)","1993-1999",44,44,0,"10",2,0,0,0,0,14,30,0,31.81
"872","JA de Freitas Turcatti (Urug)","2009-2017",44,24,20,"22",3,2,1,0,0,17,25,2,40.9
"873","MB Evans (Scot)","2008-2014",44,27,17,"15",3,0,0,0,0,15,28,1,35.22
"874","GM Garcia (Italy)","2008-2016",44,40,4,"21",3,0,2,0,0,7,37,0,15.9
"875","G Gibouin Fontana (Spain)","2010-2020",44,41,3,"25",5,0,0,0,0,21,22,1,48.86
"876","D Khinchagashvili (Georg)","2003-2013",44,31,13,"20",4,0,0,0,0,29,12,3,69.31
"877","T Kizu (JPN)","2009-2016",44,18,26,"65",13,0,0,0,0,32,12,0,72.72
"878","VF Lilo (Tonga)","2007-2018",44,41,3,"87",12,3,7,0,0,19,25,0,43.18
"879","DJ Lyons (Aust)","2000-2007",44,32,12,"20",4,0,0,0,0,31,13,0,70.45
"880","AF McHarg (Scot)","1968-1979",44,44,0,"8",2,0,0,0,0,17,26,1,39.77
"881","RM Madero (Arg/SthAm)","1978-1990",44,41,3,"42",9,0,0,2,0,20,20,4,50
"882","IG Milne (Scot)","1979-1990",44,44,0,"0",0,0,0,0,0,19,21,4,47.72
"883","A Moscardi (Italy)","1993-2002",44,41,3,"30",6,0,0,0,0,10,34,0,22.72
"884","A Neary (Eng/Lions)","1971-1980",44,43,1,"19",5,0,0,0,0,15,26,3,37.5
"885","M Orlando (Arg)","2012-2019",44,34,10,"25",5,0,0,0,0,11,33,0,25
"886","C Pristavita-Mardare (Rom)","2013-2020",44,19,25,"5",1,0,0,0,0,33,11,0,75
"887","K Rachkov (Russ)","1997-2011",44,40,4,"316",10,51,41,5,0,21,21,2,50
"888","KW Robertson (Scot)","1978-1989",44,43,1,"41",8,0,0,3,0,14,25,5,37.5
"889","JY Rutherford (Lions/Scot)","1979-1987",44,44,0,"68",8,0,0,12,0,18,21,5,46.59
"890","AS Savea (NZ)","2016-2019",44,19,25,"45",9,0,0,0,0,36,7,1,82.95
"891","GJ Smith (Fiji)","1995-2003",44,44,0,"5",1,0,0,0,0,24,20,0,54.54
"892","MJH Stevens (Eng)","2004-2012",44,20,24,"0",0,0,0,0,0,24,20,0,54.54
"893","S Taulafo (Samoa)","2009-2016",44,39,5,"5",1,0,0,0,0,20,22,2,47.72
"894","J Thiel (Can)","1998-2008",44,36,8,"20",4,0,0,0,0,14,28,2,34.09
"895","EM Tuilagi (Eng/Lions)","2011-2020",44,37,7,"90",18,0,0,0,0,28,14,2,65.9
"896","JP van Heerden (Rom)","2015-2020",44,39,5,"15",3,0,0,0,0,28,16,0,63.63
"897","G Venditti (Italy)","2012-2017",44,41,3,"40",8,0,0,0,0,12,32,0,27.27
"898","GR Williams (Wales)","2000-2005",44,35,9,"90",18,0,0,0,0,21,22,1,48.86
"899","DG Wilson (Eng)","2009-2015",44,17,27,"5",1,0,0,0,0,26,17,1,60.22
"900","WS Alberts (SA)","2010-2016",43,28,15,"35",7,0,0,0,0,30,12,1,70.93
"901","S Arata Perrone (Urug)","2016-2019",43,27,16,"71",14,0,0,0,0,25,18,0,58.13
"902","BB Clarke (Eng/Lions)","1992-1999",43,39,4,"15",3,0,0,0,0,27,16,0,62.79
"903","JN Cudmore (Can)","2002-2016",43,39,4,"15",3,0,0,0,0,13,29,1,31.39
"904","J Dalton (SA)","1994-2002",43,40,3,"25",5,0,0,0,0,35,8,0,81.39
"905","NJ de Luca (Scot)","2008-2014",43,26,17,"5",1,0,0,0,0,16,26,1,38.37
"906","BAF Douglas (Scot)","2002-2006",43,33,10,"5",1,0,0,0,0,15,28,0,34.88
"907","N Durao (Port)","1983-1995",43,43,0,"8",2,0,0,0,0,19,23,1,45.34
"908","MR Hall (Lions/Wales)","1988-1995",43,42,1,"33",7,0,0,0,0,16,27,0,37.2
"909","RA Henshaw (Ire)","2013-2020",43,39,4,"30",6,0,0,0,0,27,15,1,63.95
"910","T Kitagawa (JPN)","2005-2013",43,34,9,"10",2,0,0,0,0,23,19,1,54.65
"911","T Lacroix (Fra)","1989-1997",43,39,4,"367",6,32,89,2,0,29,13,1,68.6
"912","AR Lienert-Brown (NZ)","2016-2019",43,24,19,"45",9,0,0,0,0,35,6,2,83.72
"913","A Lovotti (Italy)","2016-2020",43,39,4,"0",0,0,0,0,0,7,36,0,16.27
"914","RJ McLoughlin (Ire/Lions)","1962-1975",43,43,0,"7",2,0,0,0,0,18,18,7,50
"915","M Marchetto (Italy)","1972-1981",43,39,4,"84",21,0,0,0,0,19,19,5,50
"916","T Matsuda (JPN)","1992-2003",43,40,3,"70",14,0,0,0,0,20,23,0,46.51
"917","LA Mears (Eng/Lions)","2005-2012",43,17,26,"5",1,0,0,0,0,17,25,1,40.69
"918","LJ Messam (NZ)","2008-2015",43,30,13,"30",6,0,0,0,0,38,4,1,89.53
"919","LP Noguera (Arg)","2014-2017",43,18,25,"10",2,0,0,0,0,14,29,0,32.55
"920","O Palepoi (Samoa)","1998-2005",43,30,13,"10",2,0,0,0,0,24,19,0,55.81
"921","J Pastore (Urug)","2003-2009",43,41,2,"30",6,0,0,0,0,17,26,0,39.53
"922","SV Piutau (Tonga)","2011-2019",43,41,2,"32",6,1,0,0,0,17,25,1,40.69
"923","P Riordan (Can)","2003-2011",43,35,8,"20",4,0,0,0,0,20,21,2,48.83
"924","EE Rodriguez (Arg/Aust/SthAm)","1979-1987",43,41,2,"0",0,0,0,0,0,25,16,2,60.46
"925","PWG Rossouw (SA)","1997-2003",43,39,4,"105",21,0,0,0,0,30,13,0,69.76
"926","Y Sakuraba (JPN)","1986-1999",43,38,5,"5",1,0,0,0,0,17,26,0,39.53
"927","O Shukaylov (Russ)","1994-2008",43,37,6,"10",2,0,0,0,0,20,22,1,47.67
"928","E Stoica (Rom)","1973-1982",43,42,1,"16",4,0,0,0,0,29,12,2,69.76
"929","TD Talemaitoga (Fiji)","2010-2018",43,21,22,"15",3,0,0,0,0,22,20,1,52.32
